city,city_state,state,population,lat,lon,rank,tax_per_capita,investment_per_capita,composite_score,tax_score,investment_score,effectiveness_score,city_pgi
Honolulu,"Honolulu, HI",HI,345510,21.3069,-157.8583,19,1701.6988255033557,1756.849832214765,82.13068473374032,36.17877329690747,49.298173439853386,72.2300417987378,52.56899617849955
Portland,"Portland, OR",OR,635067,45.5155,-122.6789,20,1829.4449950445987,2075.485629335976,77.10277681728381,32.758740709514015,58.35838671727947,66.38609875942925,52.501075395407575
Henderson,"Henderson, NV",NV,331540,36.0395,-114.9817,21,773.2040816326531,1161.571428571429,74.54258220706632,61.036522790806245,32.37179747964481,63.410381677840334,52.27290064943046
Virginia Beach,"Virginia Beach, VA",VA,459470,36.8529,-75.978,22,1569.3810444874273,1705.7398452611217,78.21260758019304,39.721197501023944,47.84489233776077,67.67605630628202,51.747382048355576
Boston,"Boston, MA",MA,654776,42.3601,-71.0589,23,2802.4114441416896,2898.2606721162583,75.0239770451338,6.710390498291197,81.75348994887585,63.96990744080741,50.81126262932482
Lexington,"Lexington, KY",KY,322570,38.0406,-84.5037,24,1415.1011235955057,1592.9606741573034,74.85155868318469,43.85159420039821,44.638085843689346,63.769505384345,50.753061809477515
Colorado Springs,"Colorado Springs, CO",CO,488664,38.8339,-104.8214,25,931.3470757430488,1277.1812080536913,71.13146596372562,56.80270352821842,35.65909058521839,59.4456374228198,50.635810512085534
Chesapeake,"Chesapeake, VA",VA,254444,36.7682,-76.2875,26,1310.884912959381,1541.774661508704,72.50880771703105,46.64168049253659,43.182642997633586,61.04652329537791,50.29028226184936
Charlotte,"Charlotte, NC",NC,897720,35.2271,-80.8431,27,1102.8517722878626,1603.6412459720732,66.0855964289977,52.21116349863719,44.941781346332036,53.580817574346085,50.244587473105106
Durham,"Durham, NC",NC,295179,35.994,-78.8986,28,1146.5198711063374,1629.6562835660582,66.14723178017437,51.04207700841186,45.68150296942418,53.65245641250087,50.12534546344563
Omaha,"Omaha, NE",NE,489265,41.2565,-95.9345,29,1166.568306010929,1576.8524590163936,66.87959848659676,50.50533840445863,44.180058635152605,54.50368706097997,49.729694700197065
Irving,"Irving, TX",TX,256684,32.814,-96.9489,30,1220.8027282266528,1540.2990556138511,65.16084358411955,49.053369300396,43.14068504990272,52.505976300261025,48.23334355018659
Minneapolis,"Minneapolis, MN",MN,429954,44.9778,-93.265,31,2265.7704081632655,2324.025510204082,69.82292885116134,21.07739529671104,65.42546564863541,57.92472326175929,48.142528069035244
Tampa,"Tampa, FL",FL,407599,27.9506,-82.4572,32,1061.0437375745528,1385.203777335984,64.8015939475791,53.33045217592495,38.73064602662035,52.08842004272433,48.04983941508988
Jersey City,"Jersey City, NJ",NJ,292449,40.7178,-74.0431,33,2191.84140969163,2163.6431718061676,71.73491676923929,23.05662946736635,60.865092316618785,60.1470289743445,48.02291691944321
Reno,"Reno, NV",NV,274827,39.5296,-119.8138,34,1089.1938775510205,1446.6683673469388,63.28948164024025,52.57681395409064,40.47835390985282,50.33089020328498,47.79535268907615
Mesa,"Mesa, AZ",AZ,511648,33.4152,-111.8315,35,774.7852760736197,1145.3732106339469,62.46132900566667,60.99419090301242,31.911211096841164,49.36832746253532,47.424576487462964
St. Petersburg,"St. Petersburg, FL",FL,268091,27.7676,-82.6403,36,1156.486083499006,1409.2793240556662,64.7497813722688,50.77526062340231,39.415219417374615,52.02819822803234,47.40622608960308
Arlington,"Arlington, TX",TX,394266,32.7357,-97.1081,37,895.8604407135363,1277.077649527807,61.92024232454409,57.75275509261142,35.656145962110486,48.73942180309409,47.382774285938666
Jacksonville,"Jacksonville, FL",FL,985843,30.3322,-81.6557,38,1020.631212723658,1434.2147117296224,59.40957000466981,54.4123801305967,40.12424185779867,45.821264535398065,46.78596217459781
Atlanta,"Atlanta, GA",GA,510823,33.749,-84.388,39,2197.64355362947,2268.8678223185266,65.40097224171572,22.90129391863388,63.85709065546811,52.785078109684505,46.51448756126217
Aurora,"Aurora, CO",CO,395282,39.7294,-104.8319,40,818.5570469798657,1147.804410354746,60.55863099883941,59.822328893803984,31.98034076836417,47.15681942426941,46.31982969547919
St. Paul,"St. Paul, MN",MN,307193,44.9537,-93.09,41,1655.857142857143,1669.0969387755104,66.28016770182434,37.40605117986881,46.80297378729066,53.80696798409464,46.00533098375138
Orlando,"Orlando, FL",FL,320742,28.5383,-81.3792,42,1156.486083499006,1434.2147117296224,60.077800265782095,50.77526062340231,40.12424185779867,46.597949321191564,45.832483934130856
Fort Worth,"Fort Worth, TX",TX,956709,32.7555,-97.3308,43,996.610703043022,1375.1049317943337,57.54362280852231,55.055459497818376,38.44349155342621,43.652472005814786,45.7171410190198
Columbus,"Columbus, OH",OH,905748,39.9612,-82.9988,44,1467.820796460177,1703.2079646017698,60.29161426704286,42.44017810986966,47.77289986555906,46.84646557589163,45.68651451710679
Des Moines,"Des Moines, IA",IA,214237,41.5868,-93.625,45,1514.4748603351957,1781.2234636871508,59.42744933117024,41.19115107947103,49.99122268755356,45.84204569674506,45.67480648792321
Greensboro,"Greensboro, NC",NC,301700,36.0726,-79.792,46,1020.1611170784104,1346.2781954887218,57.91489000680397,54.42496557587238,37.62382100359903,44.08399628891081,45.37759428946074
Sacramento,"Sacramento, CA",CA,524943,38.5816,-121.4944,47,1033.2371225577265,1193.023978685613,61.23257139450332,54.074893514903394,33.26613143310528,47.940141105889346,45.09372201796601
Pittsburgh,"Pittsburgh, PA",PA,302971,40.4406,-79.9959,48,1762.8256410256408,1719.353846153846,64.51080014303868,34.54228038443459,48.23199809537353,51.750430075892226,44.84156951856678
Glendale,"Glendale, AZ",AZ,248325,33.5387,-112.186,49,774.7852760736197,1088.767893660532,57.12306707255136,60.99419090301242,30.301673659274627,43.16365959979905,44.81984138736203
