state,state_name,rank,total_burden,investment_ratio,composite_z,tax_score,investment_score,effectiveness_score,public_good_index
IN,Indiana,19,0.0618535757353047,0.57,-0.0873603583206058,54.908262914870406,57.50999334220739,46.00021310175372,52.80615645294384
WI,Wisconsin,20,0.0662718061300718,0.55,0.4875582254061732,49.91273861534499,47.49666888593085,60.50901156380043,52.63947302169208
OH,Ohio,21,0.0513228623811185,0.54,0.0056002172756827,66.81493815627029,42.490006657792556,48.346190940040785,52.55037858470121
ME,Maine,22,0.0710579647017596,0.54,0.8676724098174352,44.50121198364961,42.490006657792556,70.10167433430702,52.36429765858306
OR,Oregon,23,0.0660528747832165,0.53,0.6548637183666547,50.16027592449909,37.48334442965426,64.73117753245275,50.791599295535356
ND,North Dakota,24,0.1035863425003321,0.62,0.5388407126639101,7.722618022282106,82.54330448289886,61.80319006718409,50.68970419078835
KY,Kentucky,25,0.0679808936935372,0.56,0.1329676756737426,47.980338606640125,52.50333111406915,51.56047003420688,50.68137991830539
OK,Oklahoma,26,0.0526781223653005,0.57,-0.8347133117776885,65.28259747273006,57.50999334220739,27.139814971229494,49.977468595388984
TN,Tennessee,27,0.0532428872433504,0.58,-1.134630034391911,64.64403940315582,62.516655570345684,19.571036700747868,48.910577224749794
MA,Massachusetts,28,0.0709578948988058,0.49,1.436762059038659,44.614357086470974,17.456695517101075,84.46337225310573,48.84480828555926
SC,South Carolina,29,0.0579191480406316,0.57,-0.7592109109675728,59.356769986105036,57.50999334220739,29.04521366203827,48.637325663450234
MN,Minnesota,30,0.0903091288738576,0.54,0.9634913246292166,22.734656185706005,42.490006657792556,72.51978598212398,45.91481627520752
NJ,New Jersey,31,0.0737423443435116,0.48,1.3652492780430006,41.46608648512289,12.450033288962786,82.65865667024752,45.5249254814444
AL,Alabama,32,0.0604529945478212,0.58,-1.2316090255692826,56.49184655139119,62.516655570345684,17.123649056876246,45.37738372620438
NV,Nevada,33,0.070120456526738,0.55,-0.2938933348845969,45.56121665766367,47.49666888593085,40.78809191181212,44.615325818468875
PA,Pennsylvania,34,0.0623037722219086,0.5,0.3458233893817068,54.39924294817641,22.46335774523937,56.93215350226402,44.59825139855993
VT,Vermont,35,0.1053312860599292,0.55,1.1279881696039449,5.749677008705291,47.49666888593085,76.67107216235136,43.30580601899584
MS,Mississippi,36,0.0725405289649968,0.6,-1.3529960043974123,42.82493321571093,72.52998002662227,14.060294937554481,43.13840272662923
MI,Michigan,37,0.0608791094478737,0.53,-0.5900294527374776,56.01005471452292,37.48334442965426,33.31472198974636,42.26937371130784
AR,Arkansas,38,0.0730219170205619,0.59,-1.2826040562691616,42.28064613373237,67.52331779848399,15.836724883727513,41.880229605314625
WV,West Virginia,39,0.0744699107399942,0.56,-0.7793497986024159,40.64345495883314,52.50333111406915,28.536983331319647,40.56125646807398
MD,Maryland,40,0.0683761600683318,0.52,-0.2623969539032147,47.53342601864779,32.47668220151596,41.582942968774795,40.531017062979515
CT,Connecticut,41,0.0756144406091444,0.46,1.0419225298031676,39.349378764969586,2.4367088326862145,74.49909675970893,38.76172811912158
LA,Louisiana,42,0.0589452388710694,0.55,-1.546439167106114,58.19660828809959,47.49666888593085,9.178511775479372,38.29059631650327
RI,Rhode Island,43,0.0815750637221207,0.5,0.16017912547092,32.60992994934134,22.46335774523937,52.24718542685972,35.773491040480145
NY,New York,44,0.0785867010487524,0.4699999999999999,0.3543538561461578,35.9887574474019,7.443371060824461,57.14743063293236,33.52651971371957
IL,Illinois,45,0.0737636114144473,0.48,-0.1394998318151838,41.44204062056931,12.450033288962786,44.68440746550808,32.85882712501339
CA,California,46,0.0924335824039071,0.5,0.224728976897881,20.33261774851983,22.46335774523937,53.876182665108516,32.22405271962257
DE,Delaware,47,0.1026096666158778,0.54,-0.4206206769108206,8.82690812886652,42.490006657792556,37.589966964848955,29.635627250502676
NM,New Mexico,48,0.1164120243840444,0.57,-1.6789720313080003,0.0,57.50999334220739,5.833877125059381,21.114623489088924
