city,city_state,state,population,lat,lon,rank,adj_rank,rank_change,city_pgi,adj_city_pgi,tax_score,investment_score,adj_investment_score,effectiveness_score,rpp,col_weight
Boston,"Boston, MA",MA,654776,42.3601,-71.0589,87,27,60,29.54692727501873,50.11578383860726,4.6239541261385,20.046920258110283,81.75348994887585,63.96990744080741,110.1,0.7856494096276113
Colorado Springs,"Colorado Springs, CO",CO,488664,38.8339,-104.8214,13,28,-15,60.08162004298213,50.008281058344174,54.92011516699433,65.87910753913226,35.65909058521839,59.4456374228198,104.3,0.8293384467881112
Chesapeake,"Chesapeake, VA",VA,254444,36.7682,-76.2875,19,29,-10,55.87200254311413,50.0040027804302,45.782842048279115,60.78664228568537,43.182642997633586,61.04652329537791,103.4,0.8365570599613152
Minneapolis,"Minneapolis, MN",MN,429954,44.9778,-93.265,72,30,42,39.48414578913968,49.5178623325345,25.203398087208804,35.32431601845096,65.42546564863541,57.92472326175929,98.0,0.8826530612244898
Atlanta,"Atlanta, GA",GA,510823,33.749,-84.388,76,31,45,37.59632117375166,48.80473447057301,29.772034646566414,30.23185076500407,63.85709065546811,52.785078109684505,92.3,0.9371614301191766
Irving,"Irving, TX",TX,256684,32.814,-96.9489,22,32,-10,54.54803239786103,48.66604665260015,50.35147860763672,60.78664228568537,43.14068504990272,52.505976300261025,95.3,0.9076600209863589
Tampa,"Tampa, FL",FL,407599,27.9506,-82.4572,40,33,7,50.077821151794865,47.81828765222007,52.63579688731553,45.50924652534474,38.73064602662035,52.08842004272433,100.6,0.8598409542743539
Reno,"Reno, NV",NV,274827,39.5296,-119.8138,32,34,-2,51.189466289797366,47.81501366681778,52.63579688731553,50.60171177879158,40.47835390985282,50.33089020328498,98.0,0.8826530612244898
Arlington,"Arlington, TX",TX,394266,32.7357,-97.1081,17,35,-18,57.44581629597542,47.371495770301486,57.71891954569989,65.87910753913226,35.656145962110486,48.73942180309409,95.3,0.9076600209863589
St. Petersburg,"St. Petersburg, FL",FL,268091,27.7676,-82.6403,35,36,-1,50.99379620482021,47.264965417681225,50.35147860763672,50.60171177879158,39.415219417374615,52.02819822803234,100.6,0.8598409542743539
Des Moines,"Des Moines, IA",IA,214237,41.5868,-93.625,49,37,12,47.40886650793859,47.20537014419258,45.782842048279115,50.60171177879158,49.99122268755356,45.84204569674506,89.5,0.9664804469273743
Mesa,"Mesa, AZ",AZ,511648,33.4152,-111.8315,12,38,-26,60.114379360164385,47.094258794918396,60.0032378253787,70.97157279257915,31.911211096841164,49.36832746253532,97.8,0.8844580777096115
Columbus,"Columbus, OH",OH,905748,39.9612,-82.9988,47,39,8,47.97004701789255,47.02710971348171,46.46196369899443,50.60171177879158,47.77289986555906,46.84646557589163,90.4,0.956858407079646
St. Paul,"St. Paul, MN",MN,307193,44.9537,-93.09,69,40,29,41.15420420446903,46.677911878564565,39.42379386430839,30.23185076500407,46.80297378729066,53.80696798409464,98.0,0.8826530612244898
Jersey City,"Jersey City, NJ",NJ,292449,40.7178,-74.0431,84,41,43,31.31527796074866,46.618823731400454,18.84434990323808,14.95445500466339,60.865092316618785,60.1470289743445,113.5,0.762114537444934
