state,state_name,rank,adj_rank,rank_change,public_good_index,adj_public_good_index,tax_score,investment_score,adj_investment_score,effectiveness_score,rpp,col_weight
KS,Kansas,17,20,-3,49.734537277043835,48.57230184185271,41.025288385468414,59.75991874988223,56.27321244430886,48.41840469578086,90.3,0.9579180509413068
OR,Oregon,24,21,3,45.51679862482666,46.4101083297752,45.1602759244991,31.46374897922175,34.14367809406736,59.92637097075915,100.9,0.8572844400396432
PA,Pennsylvania,32,22,10,41.57021038832368,45.592775341142065,49.399242948176415,23.482080147115415,35.549775005570574,51.82930806967919,97.5,0.8871794871794871
TX,Texas,10,23,-13,53.753002538054716,45.277449463650676,72.23643368180322,46.40748462321695,20.980825400004864,42.61508930914396,95.3,0.9076600209863589
FL,Florida,22,24,-2,45.60885161786688,45.19317838970128,75.391022151226,18.16066834291376,16.91364865841698,43.274864359460885,100.6,0.8598409542743539
IN,Indiana,26,25,1,44.808153708322614,44.22503908094392,49.90826291487039,43.74469627407448,41.995352391938376,40.77150193602299,90.7,0.9536934950385887
OH,Ohio,31,26,5,41.75744986298127,43.8881009479282,61.81493815627019,20.350023458085737,26.741976712926547,43.10738797458788,90.4,0.956858407079646
KY,Kentucky,33,27,6,41.38753499403629,43.833367107695686,42.980338606640125,34.70681406365369,42.04431040463189,46.47545231181505,89.0,0.9719101123595506
NY,New York,34,28,6,40.96668987096998,42.73699954853083,30.988757447401884,39.41565500466426,44.72658403734681,52.49565716084379,115.9,0.7463330457290768
NC,North Carolina,25,29,-4,45.32460064689615,42.30405626746637,54.51770539963439,46.63900516000257,37.57737202171324,34.81709138105149,93.1,0.929108485499463
MO,Missouri,35,30,5,39.797583571253504,42.100966288756574,67.94987265350218,17.10240464066167,24.012552793170883,34.34047341959665,88.8,0.9740990990990991
NV,Nevada,27,31,-4,44.05854460064875,42.08593612308837,40.561216657663664,55.60839431025879,49.69056887757766,36.006022834023796,98.0,0.8826530612244898
CA,California,29,32,-3,43.03959269079966,42.055632154695466,15.332617748519827,64.53705551574238,61.585173907429805,49.24910480813678,112.6,0.7682060390763766
IL,Illinois,37,33,4,37.87211591539393,41.90761491534827,36.44204062056931,37.50169383718119,49.60819083704423,39.67261328843127,97.0,0.8917525773195877
AZ,Arizona,30,34,-4,43.0048450720806,41.700319716501554,63.20597840419709,27.154057685708178,23.24048161897105,38.654499126336525,97.8,0.8844580777096115
GA,Georgia,23,35,-12,45.54464090527907,40.52851252011031,62.548151931707636,42.34565383326405,27.29726867775779,31.740116950865517,92.3,0.9371614301191766
MD,Maryland,28,36,-8,43.49715197859471,40.13518008750723,42.53342601864781,51.416276639609535,41.33036096634709,36.5417532775268,109.7,0.788514129443938
RI,Rhode Island,40,37,3,35.78384692059877,39.07222285311542,27.60992994934132,32.37936349875611,42.24449129630606,47.36224731369888,100.3,0.8624127617148555
OK,Oklahoma,36,38,-2,38.154855898276445,38.17009743066449,60.282597472730075,32.049706198917406,32.095430796081544,22.132264023181854,88.4,0.9785067873303167
MI,Michigan,41,39,2,34.652530945917185,38.0309449259872,51.0100547145229,24.63971712180671,34.774959062016755,28.307821001421942,91.9,0.9412404787812839
SC,South Carolina,39,40,-1,36.04593184275699,37.10386187047457,54.356769986105036,29.751773535371115,32.925563618523846,24.029252006794827,91.1,0.9495060373216246
DE,Delaware,42,41,1,33.14186862539592,36.707135478149894,3.8269081288665134,63.04463909970328,73.7404396579652,32.554058647617985,100.0,0.865
TN,Tennessee,38,42,-4,37.132426557849016,36.28452975915,59.644039403155816,37.23226063811233,34.68857024201528,14.520979632278909,91.2,0.9484649122807017
WV,West Virginia,47,43,4,27.164253220371886,35.36371372696082,35.64345495883315,22.21083092685802,46.80921244662482,23.63847377542449,86.7,0.9976931949250288
AR,Arkansas,43,44,-1,31.152124212357382,34.38750480914027,37.28064613373238,45.44328039463422,55.14942218498287,10.732446108705538,86.5,1.0
AL,Alabama,44,45,-1,30.912202345103506,33.0835627251266,51.49184655139119,29.065378761761462,35.579459901830745,12.179381722157856,87.8,0.9851936218678816
NM,New Mexico,48,46,2,26.242518234116194,30.72568489166314,0.0,77.5562966084245,91.00579658106534,1.1712580939240809,92.8,0.9321120689655172
MS,Mississippi,46,47,-1,28.157886847872373,30.670076410596874,37.824933215710914,37.65996472566959,45.196533413843085,8.98876260223662,86.7,0.9976931949250288
LA,Louisiana,45,48,-3,28.87192453931949,30.43453324839726,53.19660828809958,29.252785002860172,33.94061113009347,4.166380326998713,90.0,0.9611111111111111
